,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
751,751,The Royle Family,1998,2012,8.2,45 ,8307,Comedy,,Comedy
752,752,How the West Was Won,1976,1979,8.2,,2341,Western,,Western
753,753,The First 48,2004,,8.2,60 ,3870,"Crime, Mystery, Reality-TV",TV-14,Crime
754,754,Toast of London,2012,,8.2,30 ,9526,Comedy,TV-MA,Comedy
755,755,The Get Down,2016,2017,8.2,52 ,22896,"Drama, Music, Musical",TV-MA,Drama
756,756,Ashes to Ashes,2008,2010,8.2,60 ,10473,"Crime, Drama, Fantasy",TV-MA,Crime
757,757,Zorro,1957,1959,8.2,30 ,3776,"Action, Adventure, Comedy",TV-G,Action
758,758,Unsolved Mysteries,1987,2010,8.2,60 ,6132,"Documentary, Crime, Drama",TV-PG,Documentary
759,759,Schoolhouse Rock!,1973,2009,8.2,3 ,4094,"Animation, Short, Family",TV-Y,Animation
760,760,We Are Lady Parts,2021,,8.2,24 ,4235,"Comedy, Music",TV-MA,Comedy
761,761,Little Dorrit,2008,,8.2,420 ,9912,"Drama, Mystery, Romance",TV-PG,Drama
762,762,Clone High,2002,2003,8.2,,7729,"Animation, Comedy, Sci-Fi",TV-14,Animation
763,763,Expedition Unknown,2015,,8.2,60 ,3196,"Adventure, Mystery, Reality-TV",TV-PG,Adventure
764,764,The Kids in the Hall,2022,,8.2,25 ,1923,Comedy,TV-MA,Comedy
765,765,Wishbone,1995,1998,8.2,30 ,4043,"Adventure, Comedy, Family",TV-Y7,Adventure
766,766,Tron: Uprising,2012,2013,8.2,30 ,8477,"Animation, Action, Adventure",TV-Y7,Animation
767,767,Ouran High School Host Club,2006,,8.2,24 ,10562,"Animation, Comedy, Romance",TV-14,Animation
768,768,Shaun the Sheep,2007,2020,8.2,7 ,15139,"Animation, Short, Comedy",TV-G,Animation
769,769,MasterChef Australia,2009,,8.2,60 ,3672,Reality-TV,TV-G,Reality-TV
770,770,Mike Tyson Mysteries,2014,2020,8.2,12 ,5194,"Animation, Adventure, Comedy",TV-14,Animation
771,771,"Eerie, Indiana",1991,1992,8.2,30 ,5890,"Adventure, Comedy, Drama",TV-Y7,Adventure
772,772,Home Fires,2015,2016,8.2,45 ,4058,"Drama, War",TV-PG,Drama
773,773,Face Off,2011,2018,8.2,44 ,6710,"Game-Show, Reality-TV",TV-PG,Game-Show
774,774,Home Movies,1999,2004,8.2,30 ,10545,"Animation, Comedy, Drama",TV-14,Animation
775,775,The Joe Schmo Show,2003,,8.2,60 ,1489,"Comedy, Reality-TV",,Comedy
776,776,Wheeler Dealers,2003,,8.2,22 ,3310,Documentary,,Documentary
777,777,Naked City,1958,1963,8.2,60 ,1292,"Crime, Drama, Thriller",TV-14,Crime
778,778,Mystery Science Theater 3000,2017,2022,8.2,90 ,3832,"Comedy, Drama, Horror",TV-14,Comedy
779,779,Secret Agent,1964,1967,8.2,49 ,1426,"Action, Adventure, Crime",TV-PG,Action
780,780,Murder One,1995,1997,8.2,60 ,2310,"Crime, Drama, Mystery",TV-14,Crime
781,781,Conan,2010,2021,8.2,42 ,24456,"Comedy, Music, Talk-Show",TV-14,Comedy
782,782,Locked Up Abroad,2007,,8.2,90 ,2085,"Documentary, Drama",TV-14,Documentary
783,783,Raised by Wolves,2013,2016,8.2,30 ,1739,Comedy,,Comedy
784,784,The Guild,2007,2013,8.2,4 ,10195,"Short, Comedy",TV-14,Short
785,785,Bill Nye the Science Guy,1993,1998,8.2,30 ,8016,"Documentary, Comedy, Family",TV-Y,Documentary
786,786,Thriller,1960,1962,8.2,50 ,1481,"Crime, Drama, Horror",,Crime
787,787,The Chef Show,2019,2020,8.2,30 ,5318,Documentary,TV-14,Documentary
788,788,Love on the Spectrum U.S.,2022,,8.2,40 ,1524,"Documentary, Short, Comedy",TV-14,Documentary
789,789,Baccano!,2007,2008,8.2,384 ,12060,"Animation, Action, Adventure",TV-MA,Animation
790,790,The Fast Show,1994,2014,8.2,30 ,4905,Comedy,TV-14,Comedy
791,791,Puberty Blues,2012,2014,8.2,45 ,2131,"Comedy, Drama",Unrated,Comedy
792,792,Long Way Up,2020,,8.2,519 ,4622,"Documentary, Adventure, Reality-TV",TV-14,Documentary
793,793,Whose Line Is It Anyway?,1988,1999,8.2,36 ,5735,"Comedy, Game-Show",,Comedy
794,794,Still Standing,2015,,8.2,23 ,1588,"Comedy, Reality-TV",,Comedy
795,795,Suzhal - The Vortex,2022,,8.2,46 ,8177,"Crime, Drama, Thriller",,Crime
796,796,Higher Ground,2000,,8.2,60 ,1516,Drama,TV-PG,Drama
797,797,The No. 1 Ladies' Detective Agency,2008,2009,8.2,60 ,3621,"Comedy, Crime, Drama",TV-PG,Comedy
798,798,Penoza,2010,2017,8.2,45 ,3864,"Crime, Drama, Thriller",TV-MA,Crime
799,799,American Masters,1985,,8.2,90 ,1065,"Documentary, Biography, Music",TV-14,Documentary
800,800,Ideal,2005,2011,8.2,30 ,2823,Comedy,,Comedy
801,801,WWII in Color: Road to Victory,2021,,8.2,50 ,2075,"Documentary, History, War",,Documentary
802,802,Man vs. Wild,2006,2020,8.2,60 ,22821,"Adventure, Reality-TV",TV-PG,Adventure
803,803,High Maintenance,2012,2015,8.2,30 ,4904,Comedy,,Comedy
804,804,Late Night with Conan O'Brien,1993,2009,8.2,60 ,18403,"Comedy, Music, Talk-Show",TV-14,Comedy
805,805,Frisky Dingo,2006,2008,8.2,11 ,7446,"Animation, Comedy, Sci-Fi",TV-MA,Animation
806,806,Little Things,2016,,8.2,16 ,7056,"Comedy, Romance",TV-MA,Comedy
807,807,Penn & Teller: Bullshit!,2003,2010,8.2,30 ,11811,"Comedy, Documentary",TV-MA,Comedy
808,808,Million Dollar Extreme Presents: World Peace,2016,,8.2,11 ,2005,Comedy,TV-MA,Comedy
809,809,Todd and the Book of Pure Evil,2010,2012,8.2,,3916,"Comedy, Horror, Sci-Fi",TV-MA,Comedy
810,810,The Booth at the End,2011,2012,8.2,30 ,4822,"Drama, Mystery, Thriller",,Drama
811,811,The Soup,2004,2020,8.2,25 ,6008,Comedy,TV-14,Comedy
812,812,Redwall,1999,2002,8.2,30 ,1072,"Animation, Action, Adventure",TV-Y7,Animation
813,813,Brain Games,2011,,8.2,60 ,3389,"Documentary, Comedy, Drama",TV-G,Documentary
814,814,Intelligence,2005,2007,8.2,44 ,2158,"Crime, Drama, Mystery",,Crime
815,815,Carmilla,2014,2016,8.2,4 ,3458,"Short, Comedy, Fantasy",,Short
816,816,Knightmare,1987,1994,8.2,25 ,1049,"Adventure, Family, Fantasy",,Adventure
817,817,Moribito: Guardian of the Spirit,2007,,8.2,25 ,2775,"Animation, Action, Adventure",TV-PG,Animation
818,818,Huntik: Secrets and Seekers,2009,2012,8.2,,1169,"Animation, Action, Adventure",TV-Y7,Animation
819,819,Survivorman,2004,,8.2,44 ,6572,"Documentary, Adventure",TV-14,Documentary
820,820,"Knowing Me, Knowing You with Alan Partridge",1994,1995,8.2,45 ,6679,Comedy,TV-14,Comedy
821,821,Warriors,1999,,8.2,175 ,2446,"Drama, War",,Drama
822,822,The Kids from Room 402,2000,2001,8.2,23 ,3039,"Animation, Comedy, Family",TV-Y,Animation
823,823,Initial D: Second Stage,1999,2000,8.2,,1467,"Animation, Action, Comedy",TV-14,Animation
824,824,Takeshi's Castle,2002,2004,8.2,,1861,"Action, Adventure, Comedy",,Action
825,825,How It Should Have Ended,2005,,8.2,,3647,"Animation, Short, Comedy",TV-PG,Animation
826,826,The Layover,2011,2013,8.2,43 ,1764,Documentary,TV-PG,Documentary
827,827,Mongrels,2010,2011,8.2,30 ,1378,Comedy,TV-14,Comedy
828,828,The Cinema Snob,2007,,8.2,,1685,Comedy,TV-MA,Comedy
829,829,Hiccups and Hookups,2021,,8.2,,3442,"Comedy, Drama",,Comedy
830,830,Tales by Light,2015,,8.2,23 ,1982,Documentary,,Documentary
831,831,Nodame kantâbire,2007,2010,8.2,25 ,1292,"Animation, Comedy, Drama",,Animation
832,832,Churails,2020,,8.2,60 ,4376,"Drama, Mystery, Thriller",,Drama
833,833,Drew Carey's Improv-A-Ganza,2010,,8.2,30 ,1212,"Comedy, Game-Show",,Comedy
834,834,Queer Eye: We're in Japan!,2019,,8.2,50 ,2687,Reality-TV,TV-14,Reality-TV
835,835,Board James,2009,,8.2,,2312,"Comedy, Horror, Thriller",TV-MA,Comedy
836,836,Kenny Hotz's Triumph of the Will,2011,,8.2,22 ,2149,"Comedy, Crime, Reality-TV",,Comedy
837,837,Poker Face,2023,,8.1,58 ,9770,"Crime, Drama, Mystery",TV-MA,Crime
838,838,The Walking Dead,2010,2022,8.1,44 ,1007859,"Drama, Horror, Thriller",TV-MA,Drama
839,839,Criminal Minds,2005,,8.1,42 ,203197,"Crime, Drama, Mystery",TV-14,Crime
840,840,Tulsa King,2022,,8.1,40 ,37622,"Crime, Drama",TV-MA,Crime
841,841,Law & Order: Special Victims Unit,1999,,8.1,60 ,110363,"Crime, Drama, Mystery",TV-14,Crime
842,842,That '70s Show,1998,2006,8.1,22 ,179428,"Comedy, Drama, Romance",TV-14,Comedy
843,843,Vera,2011,,8.1,90 ,15986,"Crime, Drama, Mystery",TV-PG,Crime
844,844,The Good Doctor,2017,,8.1,41 ,97833,Drama,TV-14,Drama
845,845,Reacher,2022,,8.1,49 ,130648,"Action, Crime, Drama",TV-MA,Action
846,846,The Witcher,2019,,8.1,60 ,507328,"Action, Adventure, Drama",TV-MA,Action
847,847,Only Murders in the Building,2021,,8.1,30 ,108016,"Comedy, Crime, Drama",TV-MA,Comedy
848,848,Lucifer,2016,2021,8.1,42 ,329768,"Crime, Drama, Fantasy",TV-14,Crime
849,849,Castle,2009,2016,8.1,43 ,164842,"Comedy, Crime, Drama",TV-14,Comedy
850,850,Godfather of Harlem,2019,,8.1,55 ,15670,"Crime, Drama",TV-MA,Crime
851,851,Chicago P.D.,2014,,8.1,43 ,39819,"Action, Crime, Drama",TV-14,Action
852,852,Orange Is the New Black,2013,2019,8.1,59 ,306068,"Comedy, Crime, Drama",TV-MA,Comedy
853,853,The Mentalist,2008,2015,8.1,43 ,187953,"Crime, Drama, Mystery",TV-14,Crime
854,854,Malcolm in the Middle,2000,2006,8.1,22 ,133822,"Comedy, Family",TV-PG,Comedy
855,855,Gunsmoke,1955,1975,8.1,60 ,7639,Western,TV-PG,Western
856,856,Star Trek: Deep Space Nine,1993,1999,8.1,45 ,64685,"Action, Adventure, Drama",TV-PG,Action
857,857,How to Get Away with Murder,2014,2020,8.1,43 ,154637,"Crime, Drama, Mystery",TV-14,Crime
858,858,SAS Rogue Heroes,2022,2024,8.1,52 ,14812,"Action, Drama, Thriller",TV-MA,Action
859,859,Gangs of London,2020,,8.1,60 ,35136,"Action, Crime, Drama",TV-MA,Action
860,860,Married... with Children,1987,1997,8.1,22 ,105756,Comedy,TV-PG,Comedy
861,861,Boy Meets World,1993,2000,8.1,23 ,43958,"Comedy, Drama, Family",TV-PG,Comedy
862,862,The Fall,2013,2016,8.1,60 ,108269,"Crime, Drama, Thriller",TV-MA,Crime
863,863,The Tudors,2007,2010,8.1,60 ,76398,"Drama, History, Romance",TV-MA,Drama
864,864,The Golden Girls,1985,1992,8.1,30 ,42836,"Comedy, Drama",TV-PG,Comedy
865,865,Killing Eve,2018,2022,8.1,42 ,121201,"Action, Adventure, Drama",TV-14,Action
866,866,The Righteous Gemstones,2019,,8.1,36 ,34037,"Comedy, Drama",TV-MA,Comedy
867,867,Resident Alien,2021,,8.1,44 ,41783,"Comedy, Drama, Mystery",TV-14,Comedy
868,868,Raising Hope,2010,2014,8.1,22 ,38598,"Comedy, Family",TV-PG,Comedy
869,869,Reservation Dogs,2021,,8.1,30 ,17090,"Comedy, Crime",TV-MA,Comedy
870,870,Power,2014,2020,8.1,50 ,47862,"Crime, Drama",TV-MA,Crime
871,871,Inspector Lewis,2006,2015,8.1,90 ,13778,"Crime, Drama, Mystery",TV-PG,Crime
872,872,Goliath,2016,2021,8.1,60 ,50097,Drama,TV-MA,Drama
873,873,Stargate: Atlantis,2004,2009,8.1,44 ,68114,"Action, Adventure, Drama",TV-PG,Action
874,874,Bates Motel,2013,2017,8.1,45 ,109923,"Drama, Horror, Mystery",TV-MA,Drama
875,875,The Deuce,2017,2019,8.1,60 ,29803,Drama,TV-MA,Drama
876,876,Strike Back,2010,2020,8.1,45 ,32191,"Action, Drama, Thriller",TV-MA,Action
877,877,Workaholics,2011,2017,8.1,22 ,53219,Comedy,TV-14,Comedy
878,878,Tacoma FD,2019,,8.1,30 ,6004,Comedy,TV-14,Comedy
879,879,You Can't Do That on Television,1979,1990,8.1,30 ,2412,"Family, Comedy",TV-PG,Family
880,880,Inspector George Gently,2007,2017,8.1,89 ,7540,"Crime, Drama, Mystery",TV-MA,Crime
881,881,Scooby-Doo! Mystery Incorporated,2010,2013,8.1,23 ,14016,"Animation, Adventure, Comedy",TV-Y7-FV,Animation
882,882,Sneaky Pete,2015,2019,8.1,60 ,37714,"Crime, Thriller",TV-MA,Crime
883,883,Limitless,2022,,8.1,50 ,2529,"Documentary, Adventure",TV-14,Documentary
884,884,Power Book IV: Force,2022,,8.1,57 ,5915,"Crime, Drama",TV-MA,Crime
885,885,Phineas and Ferb,2007,2015,8.1,15 ,48894,"Animation, Short, Action",TV-G,Animation
886,886,The Wild Wild West,1965,1969,8.1,50 ,5603,"Action, Adventure, Western",TV-PG,Action
887,887,Jonathan Creek,1997,2016,8.1,60 ,8245,"Comedy, Crime, Drama",TV-MA,Comedy
888,888,Helluva Boss,2019,,8.1,174 ,5151,"Animation, Comedy, Crime",TV-MA,Animation
889,889,PEN15,2019,2021,8.1,30 ,11830,Comedy,TV-MA,Comedy
890,890,Derek,2012,2014,8.1,23 ,33649,"Comedy, Drama",TV-MA,Comedy
891,891,Dark Shadows,1966,1971,8.1,30 ,4964,"Drama, Fantasy, Horror",TV-PG,Drama
892,892,Happy!,2017,2019,8.1,60 ,40050,"Action, Comedy, Crime",TV-MA,Action
893,893,I Know This Much Is True,2020,,8.1,378 ,20482,Drama,TV-MA,Drama
894,894,Zoey's Extraordinary Playlist,2020,2021,8.1,60 ,16617,"Comedy, Drama, Musical",TV-14,Comedy
895,895,I May Destroy You,2020,,8.1,30 ,22887,Drama,TV-MA,Drama
896,896,Damages,2007,2012,8.1,60 ,30534,"Crime, Drama, Mystery",TV-MA,Crime
897,897,Documentary Now!,2015,,8.1,23 ,7171,Comedy,TV-14,Comedy
898,898,You're the Worst,2014,2019,8.1,30 ,26803,"Comedy, Drama, Romance",TV-MA,Comedy
899,899,Manhunt,2017,2020,8.1,60 ,60919,"Biography, Crime, Drama",TV-14,Biography
900,900,Friday Night Dinner,2011,2020,8.1,24 ,19413,Comedy,TV-14,Comedy
901,901,Sesame Street,1969,,8.1,55 ,14343,"Animation, Adventure, Comedy",TV-Y,Animation
902,902,The Bob Newhart Show,1972,1978,8.1,30 ,6148,Comedy,TV-G,Comedy
903,903,Ripper Street,2012,2016,8.1,59 ,21577,"Crime, Drama, Mystery",TV-MA,Crime
904,904,Dead Like Me,2003,2004,8.1,60 ,42668,"Comedy, Drama, Fantasy",TV-14,Comedy
905,905,The Fugitive,1963,1967,8.1,51 ,4278,"Adventure, Crime, Drama",TV-PG,Adventure
906,906,The Sweeney,1974,1978,8.1,60 ,2394,"Action, Comedy, Crime",TV-PG,Action
907,907,American Vandal,2017,2018,8.1,34 ,31478,"Comedy, Crime, Drama",TV-MA,Comedy
908,908,TURN: Washington's Spies,2014,2017,8.1,60 ,22256,"Drama, History, War",TV-14,Drama
909,909,Mozart in the Jungle,2014,2018,8.1,29 ,25117,"Comedy, Drama, Music",TV-MA,Comedy
910,910,High Maintenance,2016,2020,8.1,30 ,9494,"Comedy, Drama",TV-MA,Comedy
911,911,In Living Color,1990,1994,8.1,30 ,11783,"Comedy, Music",TV-14,Comedy
912,912,Daria,1997,2002,8.1,30 ,25831,"Animation, Comedy, Drama",TV-PG,Animation
913,913,Batman Beyond,1999,2001,8.1,23 ,28416,"Animation, Action, Adventure",TV-Y7,Animation
914,914,See No Evil,2014,,8.1,43 ,1007,"Documentary, Crime",,Documentary
915,915,Gargoyles,1994,1997,8.1,30 ,17039,"Animation, Action, Adventure",TV-Y7,Animation
916,916,Vagabond,2019,,8.1,60 ,9126,"Action, Mystery, Thriller",TV-MA,Action
917,917,Underbelly,2008,2013,8.1,60 ,4982,"Action, Crime, Drama",TV-MA,Action
918,918,Superman: The Animated Series,1996,2000,8.1,30 ,16329,"Animation, Action, Adventure",TV-PG,Animation
919,919,Flowers,2016,2018,8.1,30 ,6039,"Comedy, Drama",TV-14,Comedy
920,920,Dad's Army,1968,1977,8.1,30 ,6741,"Comedy, War",,Comedy
921,921,Maverick,1957,1962,8.1,60 ,3349,"Comedy, Western",TV-14,Comedy
922,922,As We See It,2022,,8.1,35 ,3760,"Comedy, Drama",TV-MA,Comedy
923,923,Galavant,2015,2016,8.1,22 ,15872,"Adventure, Comedy, Fantasy",TV-PG,Adventure
924,924,Degrassi High,1987,1991,8.1,30 ,2973,"Drama, Family, Romance",TV-14,Drama
925,925,Outnumbered,2007,2016,8.1,30 ,11303,"Comedy, Drama",TV-14,Comedy
926,926,Home Town,2016,,8.1,45 ,1247,Reality-TV,TV-G,Reality-TV
927,927,Detroiters,2017,2018,8.1,21 ,3555,Comedy,TV-14,Comedy
928,928,SeaChange,1998,2019,8.1,60 ,1097,"Comedy, Drama",TV-14,Comedy
929,929,Blake's 7,1978,1981,8.1,50 ,4157,"Adventure, Drama, Sci-Fi",Not Rated,Adventure
930,930,Voltron: Legendary Defender,2016,2018,8.1,23 ,9141,"Animation, Action, Adventure",TV-Y7-FV,Animation
931,931,Bravest Warriors,2009,2018,8.1,5 ,3536,"Animation, Action, Adventure",TV-PG,Animation
932,932,Dug Days,2021,,8.1,10 ,4507,"Animation, Short, Adventure",TV-G,Animation
933,933,Boss,2011,2012,8.1,56 ,17888,"Crime, Drama",TV-MA,Crime
934,934,Pee-wee's Playhouse,1986,1991,8.1,30 ,4699,"Comedy, Family, Musical",TV-PG,Comedy
935,935,The Big C,2010,2013,8.1,30 ,15090,"Comedy, Drama",TV-MA,Comedy
936,936,Spawn,1997,1999,8.1,30 ,9164,"Animation, Action, Adventure",TV-MA,Animation
937,937,Mickey Mouse,2013,2019,8.1,4 ,3345,"Animation, Short, Adventure",TV-G,Animation
938,938,12 O'Clock High,1964,1967,8.1,60 ,1245,"Drama, War",,Drama
939,939,The Electric Company,1971,1977,8.1,28 ,2132,"Family, Comedy",TV-G,Family
940,940,The Little Rascals,1955,,8.1,30 ,1262,"Comedy, Family",TV-G,Comedy
941,941,American Gothic,1995,1998,8.1,60 ,4627,"Drama, Horror, Thriller",TV-PG,Drama
942,942,Dirty Money,2018,2020,8.1,60 ,9553,"Documentary, Crime",TV-14,Documentary
943,943,DuckTales,1987,1990,8.1,23 ,32996,"Animation, Action, Adventure",TV-G,Animation
944,944,Mystery!: Cadfael,1994,1998,8.1,75 ,2789,"Crime, Drama, Mystery",TV-14,Crime
945,945,Star Trek Continues,2013,2017,8.1,45 ,3080,"Action, Adventure, Sci-Fi",,Action
946,946,The Forsyte Saga,2002,2003,8.1,276 ,6153,"Drama, History, Romance",TV-PG,Drama
947,947,Rejseholdet,2000,2004,8.1,75 ,3781,"Action, Crime, Drama",,Action
948,948,Cheer,2020,2022,8.1,60 ,6532,"Documentary, Sport",TV-MA,Documentary
949,949,Peter Gunn,1958,1961,8.1,30 ,1446,"Action, Crime, Drama",TV-14,Action
950,950,The Red Green Show,1991,2006,8.1,25 ,2684,Comedy,TV-G,Comedy
951,951,Vicious,2013,2016,8.1,23 ,8955,Comedy,TV-MA,Comedy
952,952,Laurel Canyon,2020,,8.1,78 ,1108,"Documentary, History, Music",TV-14,Documentary
953,953,Sledge Hammer!,1986,1988,8.1,30 ,6895,"Action, Comedy",,Action
954,954,Prisoner,1979,1986,8.1,50 ,2034,"Crime, Drama",TV-14,Crime
955,955,Green Eggs and Ham,2019,2022,8.1,26 ,2827,"Animation, Adventure, Comedy",TV-Y7,Animation
956,956,The Shivering Truth,2018,,8.1,11 ,2295,"Animation, Comedy, Fantasy",TV-MA,Animation
957,957,19-2,2014,2017,8.1,60 ,2718,"Crime, Drama",TV-MA,Crime
958,958,Criminal Justice,2019,,8.1,50 ,17558,"Crime, Drama, Mystery",,Crime
959,959,Broken,2017,,8.1,60 ,3161,Drama,TV-MA,Drama
960,960,The Last Movie Stars,2022,,8.1,59 ,1365,Documentary,TV-MA,Documentary
961,961,Strangers with Candy,1999,2000,8.1,22 ,6277,Comedy,TV-14,Comedy
962,962,Gangland Undercover,2015,2016,8.1,42 ,3671,"Biography, Crime, Drama",TV-14,Biography
963,963,Moone Boy,2012,2015,8.1,23 ,6335,Comedy,TV-14,Comedy
964,964,Beast Wars: Transformers,1996,1999,8.1,30 ,8226,"Animation, Action, Adventure",TV-Y7,Animation
965,965,Kamisama hajimemashita,2012,2016,8.1,23 ,4182,"Animation, Comedy, Fantasy",TV-PG,Animation
966,966,The Almighty Johnsons,2011,2013,8.1,47 ,4765,"Comedy, Drama, Fantasy",TV-14,Comedy
967,967,100 Foot Wave,2021,,8.1,60 ,1985,"Documentary, Sport",TV-14,Documentary
968,968,Wakfu,2008,2017,8.1,24 ,1632,"Animation, Action, Adventure",TV-Y7-FV,Animation
969,969,Get a Life,1990,1992,8.1,30 ,2821,"Comedy, Fantasy",,Comedy
970,970,Adam Ruins Everything,2015,2019,8.1,30 ,7129,"Documentary, Animation, Comedy",TV-14,Documentary
971,971,Ten Year Old Tom,2021,,8.1,24 ,1309,"Animation, Comedy",TV-MA,Animation
972,972,Fixer Upper,2013,2018,8.1,60 ,3223,Reality-TV,TV-G,Reality-TV
973,973,River Monsters,2009,2017,8.1,42 ,5278,"Documentary, Adventure, Mystery",,Documentary
974,974,Good Girls Revolt,2015,2016,8.1,55 ,6007,Drama,TV-MA,Drama
975,975,The Good Guys,2010,,8.1,60 ,7435,"Action, Comedy",TV-14,Action
976,976,Black Dynamite,2011,2015,8.1,22 ,4634,"Animation, Action, Adventure",TV-MA,Animation
977,977,Pit Bulls and Parolees,2009,,8.1,43 ,1421,"Drama, Reality-TV",,Drama
978,978,Now and Again,1999,2000,8.1,45 ,1772,"Adventure, Comedy, Drama",TV-14,Adventure
979,979,Kings,2009,,8.1,60 ,8568,"Drama, Sci-Fi",TV-14,Drama
980,980,The House of Eliott,1991,1994,8.1,50 ,1469,Drama,,Drama
981,981,Legit,2013,2014,8.1,30 ,8542,Comedy,TV-MA,Comedy
982,982,The Black Donnellys,2007,,8.1,60 ,14166,"Crime, Drama",TV-14,Crime
983,983,I Shouldn't Be Alive,2005,2012,8.1,60 ,2200,"Documentary, Biography, Drama",TV-PG,Documentary
984,984,Ride with Norman Reedus,2016,,8.1,43 ,1307,Reality-TV,TV-14,Reality-TV
985,985,Space Dandy,2014,,8.1,24 ,4241,"Animation, Adventure, Comedy",TV-14,Animation
986,986,Boomtown,2002,2003,8.1,45 ,2190,"Crime, Drama, Mystery",TV-MA,Crime
987,987,The Red Skelton Hour,1951,2016,8.1,60 ,1304,Comedy,TV-G,Comedy
988,988,Modern Marvels,1993,,8.1,60 ,2009,"Documentary, History",TV-PG,Documentary
989,989,Dali and the Cocky Prince,2021,,8.1,70 ,1131,"Comedy, Drama, Romance",,Comedy
990,990,Sunderland 'Til I Die,2018,2020,8.1,39 ,8594,"Documentary, Sport",TV-MA,Documentary
991,991,Nighty Night,2004,2005,8.1,30 ,2844,"Comedy, Crime, Thriller",,Comedy
992,992,Tenacious D,1997,2000,8.1,30 ,3694,"Comedy, Music",TV-14,Comedy
993,993,The Dean Martin Show,1965,1974,8.1,,1362,"Comedy, Music",TV-PG,Comedy
994,994,Legends of the Hidden Temple,1993,1995,8.1,30 ,3731,"Adventure, Family, Game-Show",TV-G,Adventure
995,995,Our Great National Parks,2022,,8.1,50 ,2384,Documentary,TV-PG,Documentary
996,996,Chef!,1993,1996,8.1,30 ,1437,Comedy,TV-MA,Comedy
997,997,Da Vinci's Inquest,1998,2006,8.1,44 ,1228,"Crime, Mystery, Drama",,Crime
998,998,Day Break,2006,2007,8.1,60 ,8252,"Action, Drama, Sci-Fi",TV-14,Action
999,999,The Abbott and Costello Show,1952,1957,8.1,25 ,1252,"Comedy, Family, Mystery",TV-G,Comedy
